name,category,phone,reservation,address,transportation,hours,price_range,review_based_price_range,service_charges,seating_capacity,max_guests,private_rooms,charter,smoking_policy,parking,facilities,course_menu,drinks,scenes,services,homepage,opened_date,additional_notes,diner_idx,city_name,region_name,tabelog_url,total_review_count,facebook_url,instagram_url,twitter_url,payment_card,payment_emoney,payment_qr,card_types,price_min,price_max,review_price_min,review_price_max,has_private_room,has_smoking,has_reservation,has_parking,bayesian_score,rank
ちょじゅ家,食堂,不明の為情報お待ちしております,,沖縄県中頭郡北谷町字吉原1198-2,,,{},{},,,,,,,有,,,,,,,,,47027022,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47027022/,7,,,,0,0,0,[],,,,,2,2,2,1,0.0,5969.0
LADY BAR Q,バー,不明の為情報お待ちしております,予約可,沖縄県中頭郡北谷町美浜2-4-8,ビッグエコー隣,"月・火・水・木・金・土

20:00 - 02:00

日

定休日","{'Dinner': '￥3,000～￥3,999'}",{},,12,,無,可,"全席喫煙可

加熱式タバコに限る

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",有,カウンター席あり,,,一人で入りやすい,,,,,47031019,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47031019/,1,,https://www.instagram.com/lagoon_mitchy/,,1,1,1,"['AMEX', 'JCB', 'Master', 'VISA']",3000,3999,,,0,1,1,1,0.0,5969.0
さくらや,居酒屋,098-923-1798,,沖縄県中頭郡北谷町吉原98-2 2F,,"火・水・木・金・土

17:00 - 00:00

L.O. 22:45

月・日

定休日",{},{},,,,,,,,,,,,,,,,47028693,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47028693/,10,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
砂辺のキッチン イート&ウォーク,レストラン,不明の為情報お待ちしております,,沖縄県中頭郡北谷町字宮城3-220 ラメール2 2F,,06:00 - 10:00,{},{},,,,有,,全席禁煙,,,,,,,,2019年12月20日,,47027276,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47027276/,3,,https://www.instagram.com/sunabekitchen/,,0,0,0,[],,,,,1,2,2,2,0.0,5969.0
ネイルアンドバーオーイ,バー、その他,不明の為情報お待ちしております,,沖縄県中頭郡北谷町字桑江614-16,,,{},{},,,,,,,,,,,,,,2018年7月,,47023141,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47023141/,3,,https://www.instagram.com/nail_bar_oi,https://twitter.com/nailbaroi1,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
マムズチキンアメリカンビレッジ,韓国料理,不明の為情報お待ちしております,,沖縄県中頭郡北谷町美浜9-17,,,{},{},,,,,,,,,,,,,,,,47029688,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47029688/,3,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
オッズアンドエンズ,バー,不明の為情報お待ちしております,,沖縄県中頭郡北谷町字吉原427-3,,"月・火・水・木・金・土

19:30 - 00:00

日

定休日",{},{},,,,,,,有,,,,,,,,,47022976,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47022976/,4,,,,0,0,0,[],,,,,2,2,2,1,0.0,5969.0
ひまわり 小禄店,食堂,098-859-5030,,沖縄県那覇市高良3-12-1 サンシャイン小禄店内,赤嶺駅から546m,11:00 - 21:00,{},{},,15,,,,,有,,,,,,https://www.ohta.co.jp/business/restaurant.html,,,47009491,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47009491/,3,,,,0,0,0,[],,,,,2,2,2,1,0.0,5969.0
フォルテ,喫茶店,不明の為情報お待ちしております,,沖縄県那覇市宇栄原4-12-7,"小禄駅から1,081m",,{},{},,,,,,,,,,,,,,,,47004135,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47004135/,9,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
ミドリハラール,その他,090-9782-9395,,沖縄県那覇市鏡原5-7 葵マンション 102,奥武山公園駅から158m,10:00 - 18:00,{},{},,,,,,,,,,,,,http://midori-halal.com/,,デリバリー専門店,47018060,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47018060/,8,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
幸の味,天ぷら,不明の為情報お待ちしております,,沖縄県那覇市小禄1-12-30,奥武山公園駅から924m,"月・火・水・木・金

10:00 - 18:00

土・日・祝日

定休日",{},{},,,,,,,,,,,,,,,,47026630,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47026630/,8,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
みなと家,弁当,098-861-7191,,沖縄県那覇市曙2-26-1,"美栄橋駅から2,213m",,{},{},,,,,,,,,,,,,,,,47023230,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47023230/,10,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
ジップマート さつき店,その他,098-851-7740,,沖縄県那覇市宇栄原3-14-11,赤嶺駅から647m,07:00 - 22:00,{},{},,,,,,,有,,,,,,http://kanehideshj.com/,2013年10月23日,,47014732,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47014732/,10,,,,1,0,0,"['JCB', 'Master', 'VISA']",,,,,2,2,2,1,0.0,5969.0
マタリコーヒー,カフェ,098-887-2698,,沖縄県那覇市古島2-28-5,市立病院前駅から267m,"月・火・水・木・金・土

10:00 - 17:00

日

定休日",{},{},,,,,,,,,,,,,,,,47015884,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47015884/,1,,,,0,1,0,[],,,,,2,2,2,2,0.0,5969.0
ファミリーマート 曙小学校前店,コンビニ・スーパー,098-941-3115,,沖縄県那覇市曙2-23-12,"古島駅から2,384m",,{},{},,,,,,,,,,,,,,,,47022066,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47022066/,1,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
カラオケ 凛,その他,不明の為情報お待ちしております,,沖縄県那覇市国場1145-3,"壺川駅から1,762m",,{},{},,,,,,,,カウンター席あり、カラオケあり,,,一人で入りやすい,,,,,47023947,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47023947/,7,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
お洒落バル・Kazu,バル、バー,不明の為情報お待ちしております,予約可,沖縄県那覇市安謝2-3-9,"古島駅から1,404m","18:00 - 00:00

L.O. 23:00","{'Dinner': '￥2,000～￥2,999'}",{},サービス料・チャージなし,45,,無,"可

（20人～50人可）",全席禁煙,有,オシャレな空間、落ち着いた空間、カウンター席あり、ソファー席あり、オープンテラスあり、無料Wi-Fiあり,,日本酒あり、焼酎あり、ワインあり、カクテルあり,家族・子供と,お祝い・サプライズ可,,2020年9月3日,,47026357,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47026357/,6,,,,0,0,0,[],2000,2999,,,0,2,1,1,0.0,5969.0
韓国居酒屋ポチャ 新都心店,韓国料理,098-864-0404,,沖縄県那覇市銘苅1-10-6 1F,古島駅から396m,,{},{},,,,,,,,,,,,,,,,47029142,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47029142/,1,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
LAWSON 那覇高良2丁目店,コンビニ・スーパー,098-859-4109,,沖縄県那覇市高良2-8-2,赤嶺駅から911m,24時間営業,{},{},,,,,,,,,,,,,,,,47021752,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47021752/,1,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
旬鮮菜々 彩,居酒屋、海鮮,不明の為情報お待ちしております,,沖縄県那覇市安謝2-4-11,"古島駅から1,516m",11:00 - 21:00,"{'Dinner': '￥1,000～￥1,999', 'Lunch': '～￥999'}",{},,,,,,,,,,,,,https://www.s-irodori.com/,,,47029009,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47029009/,0,,,,0,0,0,[],1000,1999,,,2,2,2,2,0.0,5969.0
豆福,コーヒースタンド,070-8420-2014,,沖縄県那覇市鏡原町30-7 かふう舎 2F,奥武山公園駅から401m,"月・火・水・金・土・日

08:00 - 14:00

木

定休日",{},{},,,,,,,,,,,,,,2024年5月24日,移転してます,47032024,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47032024/,0,,https://www.instagram.com/mamefuku.coffee,,0,1,0,[],,,,,2,2,2,2,0.0,5969.0
公庵,沖縄料理,098-869-5040,完全予約制,沖縄県那覇市銘苅3-21-31,古島駅から393m,"■ 営業時間
全予約のため、はっきりとした営業時間はない。昼1組、夜1組。

■ 定休日
不定休",{},{},,,,,,,,,,,知人・友人と,,,,,47009978,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47009978/,8,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
沖縄そば まんま家,沖縄そば,098-886-1499,,沖縄県那覇市古島2-2-1,市立病院前駅から407m,11:30 - 16:00,{},{},,,,無,不可,全席禁煙,無,,,,,,,,,47031699,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47031699/,1,,,,1,1,0,[],,,,,0,2,2,0,0.0,5969.0
カラオケ喫茶アモール,その他,098-858-3354,,沖縄県那覇市宇栄原3-28-1 カリータウン 2F,沖縄都市モノレール赤嶺駅より徒歩6分、新町入口バス停より徒歩2分,,{},{},,10,,無,"可

（20人以下可）",,無,カウンター席あり、ソファー席あり、カラオケあり、ライブ・生演奏あり、スポーツ観戦可、電源あり、車椅子で入店可,,日本酒あり、焼酎あり、ワインあり、カクテルあり,家族・子供と ｜ 一人で入りやすい,2時間半以上の宴会可、お祝い・サプライズ可、ドリンク持込可,,2023年8月4日,エレベーターもございます。,47030937,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47030937/,15,,https://www.instagram.com/amor.naha/,https://twitter.com/Amor_naha,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",,,,,0,2,2,0,0.0,5969.0
ファミリーマート おもろまち四丁目店,コンビニ・スーパー,098-869-1610,,沖縄県那覇市おもろまち4-12-13,古島駅から492m,,{},{},,,,,,,,,,,,,,,,47023922,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47023922/,1,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
ファミリーマート 小禄南小学校前店,コンビニ・スーパー,098-859-7588,,沖縄県那覇市小禄4-16-1,小禄駅から803m,,{},{},,,,,,,,,,,,,http://www.family.co.jp/,,,47020099,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47020099/,1,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
いずみ洋菓子 おもろまち,洋菓子,090-8290-7887,,沖縄県那覇市おもろまち4-6-17 おもろパークテラス A,おもろまち駅から539m,,{},{},,,,無,,,,,,,,,,,,47032772,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47032772/,1,,,,1,1,1,[],,,,,0,2,2,2,0.0,5969.0
花ぐすく 天久りうぼう店,惣菜・デリ、弁当,098-861-0106,,沖縄県那覇市天久1-2-1 天久りうぼう,"おもろまち駅から1,179m",08:00 - 23:00,{},{},,,,,,,,,,,,,,,,47018816,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47018816/,9,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
カップ&カップス 那覇メインプレイス店,スイーツ,不明の為情報お待ちしております,,沖縄県那覇市おもろまち4-4-9 サンエー那覇メインプレイス 2F,おもろまち駅から434m,09:00 - 23:00,{},{},,,,,,,有,,,,,,http://www.momiandtoy.com/information/cups/,,,47027214,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47027214/,3,,,,0,0,0,[],,,,,2,2,2,1,0.0,5969.0
キッチンポトス 国場店,食堂,098-832-7101,予約不可,沖縄県那覇市字国場1061-3 アムズガーデン国場店,那覇空港　車で15分（5Km）,11:00 - 20:00,"{'Dinner': '～￥999', 'Lunch': '～￥999'}",{},,10,,無,不可,全席禁煙,有,,,,,,https://ams-groups.co.jp/business/potos.html,,,47022025,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47022025/,8,,,,1,1,0,[],,,,,0,2,1,1,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47020702,うるま市,okinawa,https://tabelog.com/okinawa/A4703/A470302/47020702/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47022416,うるま市,okinawa,https://tabelog.com/okinawa/A4703/A470302/47022416/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47025998,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47025998/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47021841,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47021841/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47014123,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47014123/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47030667,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47030667/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47008121,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47008121/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47025509,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47025509/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47018950,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47018950/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47013483,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47013483/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47032582,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47032582/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47019221,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47019221/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47031380,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47031380/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47008264,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47008264/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47005575,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47005575/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47015930,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47015930/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47026328,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47026328/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47011617,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47011617/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47026759,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47026759/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47020442,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47020442/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47017573,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47017573/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47016884,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47016884/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47031685,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47031685/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47014338,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47014338/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47023523,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47023523/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47021876,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47021876/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47028896,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47028896/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47019765,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47019765/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47028247,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47028247/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47025965,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47025965/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47030936,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47030936/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47008213,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47008213/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47014201,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47014201/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47027468,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47027468/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47013987,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47013987/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47031626,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47031626/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47020386,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47020386/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47025938,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47025938/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47027540,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47027540/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47010086,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47010086/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47032713,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47032713/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47031740,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47031740/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47016830,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47016830/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47004420,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47004420/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47025508,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47025508/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47032323,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47032323/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47005637,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47005637/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47016829,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47016829/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47005674,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47005674/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47008314,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47008314/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47030087,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47030087/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47026449,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47026449/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47029147,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47029147/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47026148,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47026148/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47032462,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47032462/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47001934,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47001934/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47013108,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47013108/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47005463,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47005463/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47033039,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47033039/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47026420,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47026420/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47016840,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47016840/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47015345,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47015345/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47019470,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47019470/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47027685,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47027685/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47019493,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47019493/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47022307,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47022307/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47022295,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47022295/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47025951,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47025951/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47023316,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47023316/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47025702,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47025702/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47008303,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47008303/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47013582,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47013582/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47014172,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47014172/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47018798,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47018798/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47033112,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47033112/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
,,,,,,,{},{},,,,,,,,,,,,,,,,47027440,沖縄市,okinawa,https://tabelog.com/okinawa/A4703/A470301/47027440/,52,,,,0,0,0,[],,,,,2,2,2,2,0.0,5969.0
